"Time","power consumption"
2022-09-05 21:34:30,5.9
2022-09-05 21:34:35,46.3
2022-09-05 21:34:40,46.3
2022-09-05 21:34:45,46.3
2022-09-05 21:34:50,46.3
2022-09-05 21:34:55,44.0
2022-09-05 21:35:00,44.0
2022-09-05 21:35:05,44.0
2022-09-05 21:35:10,44.0
2022-09-05 21:35:15,45.2
2022-09-05 21:35:20,45.2
2022-09-05 21:35:25,45.2
2022-09-05 21:35:30,45.2
2022-09-05 21:35:35,44.7
2022-09-05 21:35:40,44.7
2022-09-05 21:35:45,44.7
2022-09-05 21:35:50,44.7
2022-09-05 21:35:55,42.4
2022-09-05 21:36:00,42.4
2022-09-05 21:36:05,42.4
2022-09-05 21:36:10,42.4
2022-09-05 21:36:15,41.4
2022-09-05 21:36:20,41.4
2022-09-05 21:36:25,41.4
2022-09-05 21:36:30,41.4
2022-09-05 21:36:35,41.0
2022-09-05 21:36:40,41.0
2022-09-05 21:36:45,41.0
2022-09-05 21:36:50,41.0
2022-09-05 21:36:55,41.7
2022-09-05 21:37:00,41.7
2022-09-05 21:37:05,41.7
2022-09-05 21:37:10,41.7
2022-09-05 21:37:15,43.4
2022-09-05 21:37:20,43.4
2022-09-05 21:37:25,43.4
2022-09-05 21:37:30,43.4
2022-09-05 21:37:35,55.0
2022-09-05 21:37:40,55.0
2022-09-05 21:37:45,55.0
2022-09-05 21:37:50,55.0
2022-09-05 21:37:55,53.4
2022-09-05 21:38:00,53.4
2022-09-05 21:38:05,53.4
2022-09-05 21:38:10,53.4
2022-09-05 21:38:15,50.1
2022-09-05 21:38:20,50.1
2022-09-05 21:38:25,50.1
2022-09-05 21:38:30,50.1
2022-09-05 21:38:35,50.2
2022-09-05 21:38:40,50.2
2022-09-05 21:38:45,50.2
2022-09-05 21:38:50,50.2
2022-09-05 21:38:55,47.5
2022-09-05 21:39:00,47.5
2022-09-05 21:39:05,47.5
2022-09-05 21:39:10,47.5
2022-09-05 21:39:15,46.9
2022-09-05 21:39:20,46.9
2022-09-05 21:39:25,46.9
2022-09-05 21:39:30,46.9
2022-09-05 21:39:35,21.6
2022-09-05 21:39:40,21.6
2022-09-05 21:39:45,21.6
2022-09-05 21:39:50,21.6
2022-09-05 21:39:55,22.2
2022-09-05 21:40:00,22.2
2022-09-05 21:40:05,22.1
2022-09-05 21:40:10,22.1
2022-09-05 21:40:15,49.6
2022-09-05 21:40:20,49.6
2022-09-05 21:40:25,49.6
2022-09-05 21:40:30,49.6
2022-09-05 21:40:35,49.3
2022-09-05 21:40:40,49.3
2022-09-05 21:40:45,49.3
2022-09-05 21:40:50,49.3
2022-09-05 21:40:55,47.3
2022-09-05 21:41:00,47.3
2022-09-05 21:41:05,47.3
2022-09-05 21:41:10,47.3
2022-09-05 21:41:15,44.6
2022-09-05 21:41:20,44.6
2022-09-05 21:41:25,44.6
2022-09-05 21:41:30,44.6
2022-09-05 21:41:35,6.5
